region,Resource,cluster,R_ID,zone,voltage_level,CapRes_1,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,TRADER,HYDRO,Commit,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,spur_miles,spur_line_capex,interconnect_annuity,Power_uprate_cost_per_MWyr,Max_Uprate_MW,Hydro_level,Existing_Charge_Cap_MW,Existing_cap_MWh,RPS_1,RPS_2,RPS_3,RPS_4,RPS_5,RPS_6,RPS_7
PJM_SMAC,natural_gas_fired_combustion_turbine,4,105,11,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,10,2,10,0,5,0,0,0,0,0,0,11182,0,0,0,10.8,0,0,113,3.5,31.4,0,0,south_atlantic_naturalgas,0.6,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC,natural_gas_fired_combustion_turbine,5,106,11,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,21.6,2,21.6,0,10.8,0,0,0,0,0,0,11182,0,0,0,10.8,0,0,113,3.5,3.92,0,0,south_atlantic_naturalgas,0.556,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC,natural_gas_fired_combustion_turbine,6,107,11,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,28.4,1,28.4,0,28.4,0,0,0,0,0,0,11182,0,0,0,10.8,0,0,113,3.5,6.22,0,0,south_atlantic_naturalgas,0.528,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC,nuclear,1,108,11,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,1768,2,1768,0,884,0,0,0,0,0,0,100888,0,0,0,2.3,0,0,235,0,10.46,0,0,south_atlantic_uranium,0.5,0,1,1,1,0,0,0,0.25,0.25,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PJM_SMAC,solar_photovoltaic,1,109,11,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,147.7,12,29.004,0,1,0,0,0,0,0,0,17943,0,0,0,0,0,0,0,0,9.13,0,0.027,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
PJM_WEST,biomass,1,110,12,trans,0.93,0,0,1,0,0,0,0,0,0,1,0,0,0,20.52,76,73.036,-1,0.27,0,0,0,0,0,0,111708,0,0,0,4.965,0,0,0,0,12.05,1.955,3.916,None,0.515,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
PJM_WEST,conventional_hydroelectric,1,111,12,trans,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1168.92,51,1168.818,-1,1,0,0,0,0,0,0,44560,0,0,0,0,0,0,0,0,9.12,0,0.038,None,0,0,1,1,1,0,0,0,0.083,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,1
PJM_WEST,conventional_steam_coal,1,112,12,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,31558,62,31558,0,509,0,0,0,0,0,0,59621.25,0,0,0,1.8,0,0,117,13.7,10.42,1.047,3.229,east_north_central_coal,0.452,0,1,1,1,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WEST,hydroelectric_pumped_storage,1,113,12,trans,0,0,0,0,1,0,0,0,0,0,0,0,0,0,237.99,3,237.999,0,1,0,0,0,0,0,0,38460,0,0,0,0,0,0,0,0,0,0,0,None,0.987,0,0.866,0.866,0.0063,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WEST,natural_gas_fired_combined_cycle,1,114,12,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,1314.4,4,1314.4,0,328.6,0,0,0,0,0,0,10709.668,0,0,0,3.604,0,0,87,2,14.37,5.144,3.284,east_north_central_naturalgas,0.461,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
