Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
t9,12622.296526272681,6797.216684398896,823.9845697399138,77.14995164901813,0.00020655294386972574,139.49400401335743,3.5532282748460785e-5,2.0411645496887795e-5,3044.4903705368165,1264.4845049641444,0.0002257341612440707,11302.856401635177,264.6450169752293,734.9718260500274,1675.7793628781335,38747.369707344435
t10,10091.530034880787,6797.216583609133,745.6021592367536,46.28998287693666,0.00015016116800658317,136.5975046503572,3.387810229535071e-5,2.0301612817649644e-5,3001.031555152795,1264.484503289858,0.0002248116337622535,6284.244076158706,264.64492207513405,734.971821800204,1671.3958470455734,31038.00941992876
t11,5927.033146995232,6722.343142333405,745.6021592014764,46.289982849873,0.00014878909064905928,136.5975042112454,3.36872793191025e-5,2.0202683380863407e-5,2957.6026697345806,1264.4845028368823,0.00022447201950718797,6284.244074946843,264.64491672691577,734.9718212124117,1671.3958466702254,26755.210194870167
t12,5927.033146153746,5857.266413866755,745.6021592011367,46.28998284968933,0.0001484722763997997,136.5975038675644,3.363449178285116e-5,2.0112482121789428e-5,2840.247176857285,1264.4845024055703,0.00022423756062427618,6284.244074755317,264.64491505988605,734.9718211558264,1671.3958466680162,25772.777969297596
t13,5927.033146017103,5259.4732491770865,745.6021592011309,46.289982849671965,0.00014828718981074607,136.59750360541992,3.360307597091075e-5,2.0030206275521234e-5,2425.517229476067,1264.4845021971855,0.00022409699060071145,6284.244074617801,264.64491442362856,734.9718211492907,1671.3958466679692,24760.254855399813
t14,5927.033146095095,5445.707578549933,745.6021592014368,46.289982849826785,0.00014821142371797188,136.59750350967732,3.3589759853766835e-5,1.99552225601298e-5,1715.9531437882015,1264.4845021414096,0.00022404664810518737,6284.244074535449,264.64491436453676,734.9718211618539,1671.3958466690938,24236.925098669566
t15,5927.033146666642,6143.275248785526,745.602159243104,46.289982881526555,0.0001482770286462951,136.59750351475185,3.359541759821172e-5,1.9887093437391103e-5,1702.9363439017525,1264.4845023365222,0.00022409293984895605,6284.244074499587,264.644915346852,734.9718212541623,1671.395846684804,24921.475970967713
t16,5927.033150582016,6795.078393395949,823.9845817774178,77.14995364446094,0.00015083451266152055,136.59750450890527,3.367773383250702e-5,1.9825035956537336e-5,2841.1383691514147,1264.4845032934686,0.0002247572587549889,6284.244074509964,264.64492152452226,734.9718224747683,1671.3979200595916,26820.72562401702
t17,12622.296549308312,6797.216701607964,823.9861751303065,77.14999568018588,0.00024770814736842586,405.31553102080306,3.729892966367303e-5,1.9768325299547886e-5,3690.840240954461,1264.4848275078296,0.0002831626088661078,15110.257705482885,264.64521925790115,734.9718284690479,1698.5770064108099,43489.742368768515
t18,12622.296553363562,6949.8125539267385,823.9861903202697,77.14999662015822,0.0003011096403267489,619.7582525908315,4.094844014617286e-5,1.9716270456754623e-5,3742.3370525929345,1264.4848293330658,0.00028870688990454595,31377.30558131722,264.64522840244723,734.971830700211,1752.8852235066809,60229.63394315537
t19,12622.296553580201,7133.237509349172,823.9861903840314,77.14999668665837,0.0003056300727561004,620.0561977040993,4.123903229834945e-5,1.9668280765628783e-5,3742.3370526945587,1264.4848295302615,0.00028975928177707726,31377.30558325197,264.6452292824312,734.9718308680484,1754.330394339098,60414.802023967204
t20,12622.296553612377,7052.270182494851,823.9861903824659,77.14999669533809,0.00030602926747075223,621.7243034742563,4.128485556559486e-5,1.9624430501612508e-5,3742.3370527615793,1264.4848296041714,0.0002900119161679745,31377.305583070174,264.64522945105495,734.971830887202,1752.6025798832034,60333.77498926715
t21,12622.296553617256,7063.332023850106,823.9861903589912,77.14999669636356,0.0003060977095113987,608.7304801741847,4.130502802474977e-5,1.9584067261192002e-5,3742.3370527663774,1264.4848296352895,0.00029007537195934586,31377.305582925655,264.64522949553583,734.9718308882075,1762.1857015743606,60341.42612904451
t22,12622.296553616052,6945.096702535467,823.9861903447116,77.14999669660284,0.0003061180785408656,592.2433404925664,4.131949891801223e-5,1.9546704827195833e-5,3742.3370527339857,1264.484829635993,0.00029006868396544655,31377.30558280812,264.64522949650654,734.9718308867999,1759.524938420417,60204.04290472019
t23,12622.296553612916,6892.312511938577,823.9861903342005,77.14999669662163,0.00030611198211815283,560.1714034342923,4.133020004629447e-5,1.9511922118949662e-5,3742.3370526629624,1264.484829603901,0.0002899686457870655,31377.305582684323,264.6452294582934,734.9718308834505,1753.477571903099,60113.13941013538
t24,12622.296553609049,6869.804982744643,823.9861903256632,77.1499966970012,0.0003060759459939474,528.7937687803787,4.133762435297558e-5,1.9479868757840814e-5,3742.3370525505875,1264.4848295361169,0.0002895320730803007,31377.305582571946,264.64522938326496,734.9718308747085,1749.6640568751086,60055.440730373986
