Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
t9,5772.640756191383,6759.596547564094,1143.445449380402,5.066220282212218e-5,0.0004370193350156593,133.1383362480997,9.012956560053264e-5,144.6677800763086,647.8085915882954,181.92862061668885,0.00032134022631869543,5367.637122559043,24.14784600125856,757.6387051899188,1796.9971173246197,22729.64777189144
t10,5772.640275841336,6759.595921008642,1143.4453819724413,2.9224078136346443e-5,0.0004308613166099219,133.13833444108033,8.994858062780778e-5,108.51037593791256,647.8085899919978,181.92862028577616,0.00031956590323754103,5367.637116578946,24.147835325963207,757.6387018701176,1796.9971157557825,22693.48913860987
t11,5772.640275609209,6759.595920378027,1143.4453815669062,2.8986158045833334e-5,0.00043041548688171097,133.13833019920847,8.98995658762439e-5,108.5103758830022,647.8085898675242,181.92862010456423,0.00031918890722574254,5367.6371163727845,24.147835004099285,757.6387017088194,1796.997115755044,22693.489130939302
t12,5772.640275587412,6759.595919857683,1143.4453815617226,2.8983396924771805e-5,0.0004301402485017329,133.13832988304304,8.98758440152833e-5,108.51037587753932,647.8085898034024,181.9286200093109,0.0003189611580594963,5367.637116241129,24.147834793018916,757.6387016955964,1796.9971157552468,22693.489129025747
t13,5772.640275609471,6759.5959201431615,1143.4453815616935,2.8983370425333002e-5,0.0004300007553450402,133.1383298906864,8.987558735933955e-5,108.51037591124826,647.808589797656,181.92861999726213,0.00031889791748673877,5367.637116179268,24.14783468847487,757.6387016953221,1796.9971157554623,22693.489128987338
t14,5772.640275632586,6759.595920192682,1143.445381565412,2.8985681923929306e-5,0.0004299938313813662,133.13832996009967,8.98982127971692e-5,108.51037598319915,647.8085898493647,181.92862006798913,0.0003189845320481873,5367.637116183287,24.147834687851315,757.6387017014562,1796.9971157558077,22693.48912944199
t15,5772.640275657727,6759.595920287527,1143.4453818138993,2.918178603777986e-5,0.0004301116385395726,133.13833008811247,8.99383707936952e-5,108.51037610041439,647.8085899589876,181.92862022206415,0.00031921927078242825,5367.637116250405,24.147834790244456,757.6387017716085,1796.997115756327,22693.48913114838
t16,5772.640275794969,6759.595920499797,1143.4454363331263,4.826442457394001e-5,0.000430354677167328,133.13833458265287,8.956544114503973e-5,109.76469370313156,647.8085901293648,181.9286204659151,0.00031960457366060906,5367.637116379524,24.147834997229975,757.6387035516533,1796.997115759631,22694.74352998611
t17,5772.640277128722,6759.595921112731,1143.4454533482963,5.506397576850173e-5,0.00043098659593835087,133.13845968406844,8.979189211964676e-5,325.7253295300372,650.4641245012366,253.15434833881378,0.00032026813535826866,5367.637116572817,24.147922114723873,757.6387043713943,1796.997116766272,22984.585669579716
t18,12467.903998912154,6759.597008064726,1157.7595769778964,6.40815439711046e-5,0.0005103284249292237,559.1803907807249,0.00010184024299971891,542.5513639787179,2723.450311628024,835.3250501147324,0.00034528504296568263,5367.637392760219,101.42011334750725,757.6387229665753,1796.9971316976207,33069.462082764156
